Address:,USB0::0x2A8D::0x178B::CN59340121::0::INSTR,,Analog Channels,,,
Model:,EDU-X 1002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,CN59340121,,3.01875E-07,-2.33668295899406,10.037688520737,
Firmware Version:,01.20.2019061038,,3.021875E-07,-1.9899493586272,10.0502513349056,
Start Time:,2021-08-25 12:56:31.957,,3.025E-07,-1.63316550897434,10.0628141490743,
Capture#:,2,,3.028125E-07,-1.26130628539249,10.0628141490743,
,,,3.03125E-07,-0.864321438595653,10.037688520737,
Analog Sample Count:,640,,3.034375E-07,-0.467336591798812,10.0125628923997,
Function Sample Count:,0,,3.0375E-07,-0.0603014957159758,9.97487444989383,
Waveform Memory Sample Count:,0,,3.040625E-07,0.341708475723863,9.9246231932193,
Digital Sample Count:,0,,3.04375E-07,0.748743571806699,9.86180912237614,
,,,3.046875E-07,1.15075354324654,9.83668349403888,
Setup Text Information:,,,3.05E-07,1.54271326540038,9.82412067987025,
ANALOG,,,3.053125E-07,1.92462273826823,9.82412067987025,
Channel 1,,,3.05625E-07,2.29145683720708,9.82412067987025,
Scale,2 V/,,3.059375E-07,2.63316531293094,9.83668349403888,
Pos,0 V,,3.0625E-07,2.95979841472581,9.83668349403888,
Coup,,,3.065625E-07,3.2462305193767,9.84924630820751,
BW,Off,,3.06875E-07,3.51256212545559,9.84924630820751,
Inv,Off,,3.071875E-07,3.7386927343905,9.83668349403888,
Imp,1M Ohm,,3.075E-07,3.93467259546742,9.83668349403888,
Trace Label,1,,3.078125E-07,4.10552683332935,9.83668349403888,
Probe,10,,3.08125E-07,4.2311549494043,9.84924630820751,
Skew,0 s,,3.084375E-07,4.33165744226426,9.83668349403888,
,,,3.0875E-07,4.40200918726623,9.83668349403888,
Channel 2,,,3.090625E-07,4.42713481048122,9.82412067987025,
Scale,5 V/,,3.09375E-07,4.43718505976722,9.82412067987025,
Pos,0 V,,3.096875E-07,4.43215993512422,9.82412067987025,
Coup,,,3.1E-07,4.41205943655223,9.82412067987025,
BW,Off,,3.103125E-07,4.38190868869424,9.84924630820751,
Inv,Off,,3.10625E-07,4.34673281619325,9.88693475071341,
Imp,1M Ohm,,3.109375E-07,4.30150669440627,9.94974882155657,
Trace Label,2,,3.1125E-07,4.25628057261929,9.98743726406246,
Probe,10,,3.115625E-07,4.21607957547531,10.0251257065684,
Skew,0 s,,3.11875E-07,4.18592882761732,10.0502513349056,
,,,3.121875E-07,4.17085345368832,10.0628141490743,
MATH,,,3.125E-07,4.16582832904533,10.0502513349056,
REFERENCE WAVEFORM,,,3.128125E-07,4.17085345368832,10.0502513349056,
TRIGGER,,,3.13125E-07,4.17587857833132,10.037688520737,
Sweep Mode,NORM,,3.134375E-07,4.18090370297432,10.037688520737,
Coup,DC,,3.1375E-07,4.18090370297432,10.037688520737,
Noise Rej,Off,,3.140625E-07,4.18090370297432,10.037688520737,
HF Rej,Off,,3.14375E-07,4.17587857833132,10.037688520737,
Holdoff,60.0 ns,,3.146875E-07,4.17587857833132,10.0502513349056,
Mode,EDGE,,3.15E-07,4.17587857833132,10.0502513349056,
Source,CHAN2,,3.153125E-07,4.17587857833132,10.0502513349056,
Slope,POS,,3.15625E-07,4.17587857833132,10.0502513349056,
Level,3.125 V V,,3.159375E-07,4.18090370297432,10.0502513349056,
,,,3.1625E-07,4.18090370297432,10.0502513349056,
HORIZONTAL,,,3.165625E-07,4.18090370297432,10.0502513349056,
Mode,MAIN,,3.16875E-07,4.17587857833132,10.0502513349056,
Ref,CENT,,3.171875E-07,4.17587857833132,10.0502513349056,
Main Scale,20 ns/,,3.175E-07,4.17587857833132,10.037688520737,
Main Delay,402 ns,,3.178125E-07,4.17587857833132,10.037688520737,
,,,3.18125E-07,4.17587857833132,10.037688520737,
ACQUISITION,,,3.184375E-07,4.18090370297432,10.037688520737,
Mode,NORM,,3.1875E-07,4.18090370297432,10.037688520737,
RealTime,On,,3.190625E-07,4.18592882761732,10.037688520737,
Vectors,On,,3.19375E-07,4.18090370297432,10.0502513349056,
Persistence,Off,,3.196875E-07,4.17085345368832,10.0628141490743,
