Address:,USB0::0x2A8D::0x178B::CN59340121::0::INSTR,,Analog Channels,,,
Model:,EDU-X 1002A,,Time (s),1 (VOLT),2 (VOLT),
,,,3.63125E-07,-4.18090370297432,10.0502513349056,
,,,3.634375E-07,-4.18090370297432,10.037688520737,
,,,3.6375E-07,-4.18090370297432,10.037688520737,
,,,3.640625E-07,-4.18090370297432,10.037688520737,
,,,3.64375E-07,-4.18090370297432,10.037688520737,
,,,3.646875E-07,-4.18090370297432,10.037688520737,
,,,3.65E-07,-4.18090370297432,10.0502513349056,
,,,3.653125E-07,-4.18090370297432,10.037688520737,
,,,3.65625E-07,-4.18090370297432,10.037688520737,
,,,3.659375E-07,-4.18090370297432,10.0251257065684,
,,,3.6625E-07,-4.18090370297432,10.0251257065684,
,,,3.665625E-07,-4.18090370297432,10.0251257065684,
,,,3.66875E-07,-4.18090370297432,10.0251257065684,
,,,3.671875E-07,-4.18090370297432,10.0502513349056,
,,,3.675E-07,-4.18090370297432,10.1005025915802,
,,,3.678125E-07,-4.18090370297432,10.138191034086,
,,,3.68125E-07,-4.18090370297432,10.1884422907606,
,,,3.684375E-07,-4.18090370297432,10.2261307332665,
,,,3.6875E-07,-4.18592882761732,10.2638191757724,
,,,3.690625E-07,-4.18592882761732,10.2638191757724,
,,,3.69375E-07,-4.18592882761732,10.2638191757724,
,,,3.696875E-07,-4.18592882761732,10.2638191757724,
,,,3.7E-07,-4.18592882761732,10.2261307332665,
,,,3.703125E-07,-4.18090370297432,10.2010051049292,
,,,3.70625E-07,-4.18592882761732,10.1507538482547,
,,,3.709375E-07,-4.18592882761732,10.1005025915802,
,,,3.7125E-07,-4.19095395226032,10.0502513349056,
,,,3.715625E-07,-4.19095395226032,10.037688520737,
,,,3.71875E-07,-4.19095395226032,10.0251257065684,
,,,3.721875E-07,-4.19095395226032,10.0251257065684,
,,,3.725E-07,-4.18090370297432,10.0251257065684,
,,,3.728125E-07,-4.16582832904533,10.037688520737,
,,,3.73125E-07,-4.14070270583034,10.037688520737,
,,,3.734375E-07,-4.12060220725834,10.0502513349056,
,,,3.7375E-07,-4.11055195797235,10.0502513349056,
