x-axis,1,2
second,Volt,Volt
-13.000000E-06,-593.812843E-06,-7.780317807E-03
-12.995443E-06,-657.575210E-06,-8.512176595E-03
-12.990885E-06,-838.205220E-06,-7.536039434E-03
-12.986328E-06,-806.249238E-06,-6.437313973E-03
-12.981771E-06,-593.812843E-06,-3.874441350E-03
-12.977214E-06,-657.588810E-06,-3.875534843E-03
-12.972656E-06,-678.777201E-06,-6.193797139E-03
-12.968099E-06,-593.812843E-06,-7.780727867E-03
-12.963542E-06,-593.812843E-06,-9.244582129E-03
-12.958984E-06,-593.812843E-06,-7.779146208E-03
-12.954427E-06,-593.812843E-06,-4.361982711E-03
-12.949870E-06,-593.812843E-06,-3.143207415E-03
-12.945313E-06,-849.011911E-06,-4.851789164E-03
-12.940755E-06,-1.061181411E-03,-5.827496739E-03
-12.936198E-06,-763.687160E-06,-5.827496739E-03
-12.931641E-06,-593.812843E-06,-5.461020599E-03
-12.927083E-06,-561.906159E-06,-5.339721058E-03
-12.922526E-06,-551.349363E-06,-5.094466352E-03
-12.917969E-06,-849.093510E-06,-3.385884603E-03
-12.913411E-06,-1.061140612E-03,-2.410411348E-03
-12.908854E-06,-827.473327E-06,-2.410411348E-03
-12.904297E-06,-934.047668E-06,-2.410411348E-03
-12.899740E-06,-997.286446E-06,-3.876862655E-03
-12.895182E-06,-678.719402E-06,-5.827496739E-03
-12.890625E-06,-593.812843E-06,-5.827496739E-03
-12.886068E-06,-593.812843E-06,-5.094153926E-03
-12.881510E-06,-657.660209E-06,-4.485644977E-03
-12.876953E-06,-934.108867E-06,-5.339935851E-03
-12.872396E-06,-933.371081E-06,-5.827496739E-03
-12.867839E-06,-593.812843E-06,-5.093997712E-03
-12.863281E-06,-785.395740E-06,-4.852492123E-03
-12.858724E-06,-976.179654E-06,-5.827496739E-03
-12.854167E-06,-763.564762E-06,-4.360264366E-03
-12.849609E-06,-593.812843E-06,-2.410411348E-03
-12.845052E-06,-593.812843E-06,-2.410411348E-03
-12.840495E-06,-593.812843E-06,-2.410411348E-03
-12.835938E-06,-593.812843E-06,-3.877956147E-03
-12.831380E-06,-657.697608E-06,-5.827496739E-03
-12.826823E-06,-806.444734E-06,-5.827496739E-03
-12.822266E-06,-763.517163E-06,-6.928331078E-03
-12.817708E-06,-593.812843E-06,-9.858168007E-03
-12.813151E-06,-593.812843E-06,-12.174380005E-03
-12.808594E-06,-593.812843E-06,-11.560657441E-03
-12.804036E-06,-593.812843E-06,-10.098853477E-03
-12.799479E-06,-593.812843E-06,-11.199980716E-03
