"A,1 Log Mag"
"Frequency (Hz)","dB",
21826375000, -1.032163e+002,
21826500000, -1.036552e+002,
21826625000, -1.031885e+002,
21826750000, -1.024775e+002,
21826875000, -1.026639e+002,
21827000000, -1.023189e+002,
21827125000, -1.033053e+002,
21827250000, -1.024047e+002,
21827375000, -1.025231e+002,
21827500000, -1.023476e+002,
21827625000, -1.040161e+002,
21827750000, -1.031291e+002,
21827875000, -1.027725e+002,
21828000000, -1.031604e+002,
21828125000, -1.042092e+002,
21828250000, -1.029445e+002,
21828375000, -1.028031e+002,
21828500000, -1.028515e+002,
21828625000, -1.016931e+002,
21828750000, -1.029441e+002,
21828875000, -1.034108e+002,
21829000000, -1.020201e+002,
21829125000, -1.025330e+002,
21829250000, -1.018242e+002,
21829375000, -1.037382e+002,
21829500000, -1.030625e+002,
21829625000, -1.028770e+002,
21829750000, -1.020744e+002,
21829875000, -1.016127e+002,
21830000000, -7.271827e+001,
21830125000, -1.023763e+002,
21830250000, -1.012359e+002,
21830375000, -1.038420e+002,
21830500000, -1.024245e+002,
21830625000, -1.033194e+002,
21830750000, -1.034337e+002,
21830875000, -1.040290e+002,
21831000000, -1.039547e+002,
21831125000, -1.032568e+002,
21831250000, -1.040203e+002,
21831375000, -1.023587e+002,
21831500000, -1.033863e+002,
21831625000, -1.021725e+002,
21831750000, -1.035023e+002,
21831875000, -1.044102e+002,
21832000000, -1.032000e+002,
21832125000, -1.021024e+002,
21832250000, -1.029340e+002,
21832375000, -1.020714e+002,
21832500000, -1.052066e+002,
21832625000, -1.026874e+002,
21832750000, -1.049268e+002,
21832875000, -1.029117e+002,
21833000000, -1.025471e+002,
21833125000, -1.038775e+002,
21833250000, -1.023490e+002,
21833375000, -1.032361e+002,
21833500000, -1.037410e+002,
21833625000, -1.018880e+002,
21833750000, -1.033714e+002,
21833875000, -1.028102e+002,
21834000000, -1.026387e+002,
21834125000, -1.029647e+002,
21834250000, -1.028101e+002,
21834375000, -1.036015e+002,
21834500000, -1.020863e+002,
21834625000, -1.021082e+002,
21834750000, -1.027835e+002,
21834875000, -1.015306e+002,
21835000000, -1.018813e+002,
21835125000, -1.028870e+002,
21835250000, -1.024539e+002,
21835375000, -1.026875e+002,
21835500000, -1.023740e+002,
21835625000, -1.028593e+002,
21835750000, -1.029497e+002,
21835875000, -1.031298e+002,
21836000000, -1.027441e+002,
21836125000, -1.036380e+002,
21836250000, -1.041764e+002,
21836375000, -1.027843e+002,
21836500000, -1.033165e+002,
21836625000, -1.017988e+002,
21836750000, -1.034094e+002,
21836875000, -1.026971e+002,
21837000000, -1.036803e+002,
21837125000, -1.027955e+002,
21837250000, -1.025843e+002,
21837375000, -1.029418e+002,
21837500000, -1.037728e+002,
21837625000, -1.020348e+002,
21837750000, -1.015285e+002,
21837875000, -1.024486e+002,
21838000000, -1.023807e+002,
21838125000, -1.028379e+002,
21838250000, -1.035973e+002,
21838375000, -1.028781e+002,
21838500000, -1.033800e+002,
21838625000, -1.029667e+002,
21838750000, -1.025431e+002,
21838875000, -1.029585e+002,
21839000000, -1.039395e+002,
21839125000, -1.038917e+002,
21839250000, -1.022787e+002,
21839375000, -1.032405e+002,
21839500000, -1.035097e+002,
21839625000, -1.029819e+002,
21839750000, -1.023343e+002,
21839875000, -1.032947e+002,
21840000000, -1.018463e+002,
21840125000, -1.025792e+002,
21840250000, -1.029255e+002,
21840375000, -1.032171e+002,
21840500000, -1.028531e+002,
21840625000, -1.033242e+002,
21840750000, -1.029065e+002,
21840875000, -1.028315e+002,
21841000000, -1.018785e+002,
21841125000, -1.025918e+002,
21841250000, -1.045521e+002,
21841375000, -1.034897e+002,
21841500000, -1.020482e+002,
21841625000, -1.021028e+002,
21841750000, -1.031349e+002,
21841875000, -1.021371e+002,
21842000000, -1.016622e+002,
21842125000, -1.038467e+002,
21842250000, -1.022011e+002,
21842375000, -1.022054e+002,
21842500000, -1.032314e+002,
21842625000, -1.022783e+002,
21842750000, -1.034019e+002,
21842875000, -1.026336e+002,
21843000000, -1.047384e+002,
21843125000, -1.038328e+002,
21843250000, -1.032425e+002,
21843375000, -1.027551e+002,
21843500000, -1.017412e+002,
21843625000, -1.040415e+002,
21843750000, -1.023357e+002,
21843875000, -1.028978e+002,
21844000000, -1.036812e+002,
21844125000, -1.026771e+002,
21844250000, -1.027334e+002,
21844375000, -1.035983e+002,
21844500000, -1.033082e+002,
21844625000, -1.031229e+002,
21844750000, -1.022642e+002,
21844875000, -1.023825e+002,
21845000000, -1.033975e+002,
21845125000, -1.026448e+002,
21845250000, -1.035372e+002,
21845375000, -1.018025e+002,
21845500000, -1.018758e+002,
21845625000, -1.015949e+002,
21845750000, -1.024486e+002,
21845875000, -1.043986e+002,
21846000000, -1.031763e+002,
21846125000, -1.020011e+002,
21846250000, -1.035560e+002,
21846375000, -1.028547e+002,
21846500000, -1.015047e+002,
21846625000, -1.039476e+002,
21846750000, -1.031426e+002,
21846875000, -1.031807e+002,
21847000000, -1.021246e+002,
21847125000, -1.031197e+002,
21847250000, -1.030148e+002,
21847375000, -1.034699e+002,
21847500000, -1.034609e+002,
21847625000, -1.027980e+002,
21847750000, -1.042068e+002,
21847875000, -1.036768e+002,
21848000000, -1.032113e+002,
21848125000, -1.029609e+002,
21848250000, -1.032291e+002,
21848375000, -1.040241e+002,
21848500000, -1.046858e+002,
21848625000, -1.032727e+002,
21848750000, -1.012116e+002,
21848875000, -1.027834e+002,
21849000000, -1.042425e+002,
21849125000, -1.036686e+002,
21849250000, -1.021696e+002,
21849375000, -1.032922e+002,
21849500000, -1.024073e+002,
21849625000, -1.029041e+002,
21849750000, -1.023309e+002,
21849875000, -1.010422e+002,
21850000000, -1.028887e+002,
21850125000, -1.022315e+002,
21850250000, -1.031405e+002,
21850375000, -1.040708e+002,
21850500000, -1.039536e+002,
21850625000, -1.026703e+002,
21850750000, -1.035963e+002,
21850875000, -1.032932e+002,
21851000000, -1.026347e+002,
21851125000, -1.034807e+002,
21851250000, -1.052155e+002,
21851375000, -1.039204e+002,
21851500000, -1.029488e+002,
21851625000, -1.035139e+002,
21851750000, -1.015660e+002,
21851875000, -1.030426e+002,
21852000000, -1.036165e+002,
21852125000, -1.036581e+002,
21852250000, -1.030827e+002,
21852375000, -1.026317e+002,
21852500000, -1.027965e+002,
21852625000, -1.029819e+002,
21852750000, -1.026977e+002,
21852875000, -1.033059e+002,
21853000000, -1.041440e+002,
21853125000, -1.031955e+002,
21853250000, -1.029426e+002,
21853375000, -1.024626e+002,
21853500000, -1.030782e+002,
21853625000, -1.029307e+002,
21853750000, -1.034687e+002,
21853875000, -1.036213e+002,
21854000000, -1.033246e+002,
21854125000, -1.030398e+002,
21854250000, -1.023361e+002,
21854375000, -1.023658e+002,
21854500000, -1.024901e+002,
21854625000, -1.044050e+002,
21854750000, -1.037097e+002,
21854875000, -1.015074e+002,
21855000000, -1.032293e+002,
21855125000, -1.039703e+002,
21855250000, -1.028439e+002,
21855375000, -1.027679e+002,
21855500000, -1.032019e+002,
21855625000, -1.032098e+002,
21855750000, -1.030917e+002,
21855875000, -1.021893e+002,
21856000000, -1.032195e+002,
21856125000, -1.042158e+002,
21856250000, -1.016603e+002,
21856375000, -1.026520e+002,
21856500000, -1.025743e+002,
21856625000, -1.029455e+002,
21856750000, -1.020844e+002,
21856875000, -1.045937e+002,
21857000000, -1.025159e+002,
21857125000, -1.035107e+002,
21857250000, -1.026710e+002,
21857375000, -1.026629e+002,
21857500000, -1.027599e+002,
21857625000, -1.036589e+002,
21857750000, -1.028680e+002,
21857875000, -1.033615e+002,
21858000000, -1.023806e+002,
21858125000, -1.020179e+002,
21858250000, -1.024074e+002,
21858375000, -1.025151e+002,
21858500000, -1.036357e+002,
21858625000, -1.031477e+002,
21858750000, -1.028349e+002,
21858875000, -1.030424e+002,
21859000000, -1.039261e+002,
21859125000, -1.035975e+002,
21859250000, -1.023700e+002,
21859375000, -1.029888e+002,
21859500000, -1.042919e+002,
21859625000, -1.021681e+002,
21859750000, -1.026634e+002,
21859875000, -1.040884e+002,
21860000000, -1.038453e+002,
21860125000, -1.021469e+002,
21860250000, -1.022363e+002,
21860375000, -1.023017e+002,
21860500000, -1.034114e+002,
21860625000, -1.034487e+002,
21860750000, -1.037923e+002,
21860875000, -1.024456e+002,
21861000000, -1.019257e+002,
21861125000, -1.036422e+002,
21861250000, -1.020743e+002,
21861375000, -1.020444e+002,
21861500000, -1.024327e+002,
21861625000, -1.021680e+002,
21861750000, -1.041175e+002,
